Date,precio_bogota,colcap
2018-01-02,38238.125,1516.68
2018-01-03,37977.375,1515.84
2018-01-04,37977.375,1531.68
2018-01-05,38544.19140625,1545.57
2018-01-09,38419.48828125,1547.31
2018-01-10,37977.375,1537.7
2018-01-11,37410.54296875,1523.33
2018-01-12,37410.54296875,1521.41
2018-01-15,37376.546875,1513.76
2018-01-16,37920.6796875,1539.1
2018-01-17,37920.6796875,1543.54
2018-01-18,37920.6796875,1548.07
2018-01-19,38532.859375,1551.04
2018-01-22,38544.19140625,1557.86
2018-01-23,38272.1171875,1570.34
2018-01-24,38600.859375,1589.6
2018-01-25,38600.859375,1588.97
2018-01-26,38737.44140625,1592.82
2018-01-29,38669.15234375,1598.4
2018-01-30,38521.22265625,1582.98
2018-01-31,37952.23046875,1558.18
2018-02-01,37565.30859375,1580.97
2018-02-02,37644.9609375,1567.74
2018-02-05,38339.12890625,1523.07
2018-02-06,38339.12890625,1526.83
2018-02-07,37667.70703125,1526.87
2018-02-08,37781.51171875,1504.77
2018-02-09,37553.9296875,1500.99
2018-02-12,37553.9296875,1509.48
2018-02-13,38100.17578125,1504.98
2018-02-14,37667.70703125,1518.78
2018-02-15,37667.70703125,1514.36
2018-02-16,37724.62109375,1520.71
2018-02-19,37610.81640625,1515.7
2018-02-20,37827.046875,1517.39
2018-02-21,38122.91796875,1525.24
2018-02-22,37849.80859375,1532.2
2018-02-23,37998.32421875,1532.6
2018-02-26,38078.28515625,1524.9
2018-02-27,37998.32421875,1516.53
2018-02-28,37712.7109375,1478.33
2018-03-01,37712.7109375,1466.28
2018-03-02,37986.88671875,1456.38
2018-03-05,37986.88671875,1469.83
2018-03-06,38089.7109375,1475.53
2018-03-07,38272.50390625,1473.76
2018-03-08,38272.50390625,1474.31
2018-03-09,38386.76171875,1482.1
2018-03-12,38558.109375,1478.88
2018-03-14,38546.71484375,1463.78
2018-03-15,38843.73046875,1467.22
2018-03-16,38843.73046875,1475.75
2018-03-20,38809.4609375,1476.89
2018-03-21,38809.4609375,1486.03
2018-03-22,38672.375,1468.44
2018-03-23,38827.2265625,1459.06
2018-03-26,38827.2265625,1469.04
2018-03-27,38827.2265625,1450.0
2018-03-28,38827.2265625,1455.52
2018-04-02,38964.859375,1470.88
2018-04-03,38999.2578125,1492.84
2018-04-04,40008.67578125,1497.59
2018-04-05,39859.55078125,1514.84
2018-04-06,39859.55078125,1520.76
2018-04-09,39595.7421875,1531.72
2018-04-10,39802.20703125,1548.01
2018-04-11,39825.16015625,1560.08
2018-04-12,39618.68359375,1555.87
2018-04-13,39618.68359375,1538.44
2018-04-16,39744.8515625,1530.0
2018-04-17,39687.49609375,1552.16
2018-04-18,39343.3671875,1562.16
2018-04-19,39802.20703125,1572.45
2018-04-20,39802.20703125,1561.45
2018-04-23,39744.8515625,1576.65
2018-04-24,39802.20703125,1562.55
2018-04-25,39957.64453125,1558.05
2018-04-26,39957.64453125,1553.34
2018-04-27,39957.64453125,1566.45
2018-04-30,40015.22265625,1565.56
2018-05-02,40303.1015625,1565.67
2018-05-03,40303.1015625,1553.03
2018-05-04,40303.1015625,1547.04
2018-05-07,39577.66015625,1544.26
2018-05-08,39577.66015625,1546.45
2018-05-09,40291.578125,1558.46
2018-05-10,40280.08984375,1552.64
2018-05-11,40280.08984375,1550.08
2018-05-15,40245.53125,1571.47
2018-05-16,40234.03125,1547.37
2018-05-17,40245.53125,1525.54
2018-05-18,40245.53125,1520.52
2018-05-21,40130.38671875,1516.71
2018-05-22,40130.38671875,1524.84
2018-05-23,40130.38671875,1523.17
2018-05-24,40130.38671875,1528.32
2018-05-25,40130.38671875,1526.36
2018-05-28,40286.4453125,1524.44
2018-05-29,40448.2734375,1539.19
2018-05-30,40101.48046875,1546.03
2018-05-31,40448.2734375,1546.71
2018-06-01,40448.2734375,1564.47
2018-06-05,40113.0390625,1559.67
2018-06-06,40113.0390625,1554.59
2018-06-07,40402.05078125,1549.53
2018-06-08,40402.05078125,1547.96
2018-06-12,39997.4375,1550.56
2018-06-13,39881.84765625,1553.18
2018-06-14,39384.77734375,1550.94
2018-06-15,39384.77734375,1541.23
2018-06-18,39870.29296875,1555.54
2018-06-19,39303.84375,1537.5
2018-06-20,39870.29296875,1532.26
2018-06-21,39384.77734375,1534.39
2018-06-22,39384.77734375,1522.79
2018-06-25,39535.04296875,1522.66
2018-06-26,40016.69921875,1543.8
2018-06-27,39830.9921875,1550.35
2018-06-28,39459.60546875,1555.61
2018-06-29,39459.60546875,1577.01
2018-07-03,39575.65625,1561.27
2018-07-04,39598.8671875,1570.9
2018-07-05,39981.87890625,1566.95
2018-07-06,39981.87890625,1557.59
2018-07-09,39807.7890625,1555.39
2018-07-10,39993.4765625,1561.16
2018-07-11,39923.83984375,1554.15
2018-07-12,39819.3828125,1545.52
2018-07-13,39819.3828125,1546.75
2018-07-16,40272.01171875,1551.33
2018-07-17,40318.44140625,1549.97
2018-07-18,40225.60546875,1552.15
2018-07-19,40225.60546875,1547.34
2018-07-23,39900.6484375,1549.19
2018-07-24,39749.765625,1545.03
2018-07-25,40306.82421875,1527.4
2018-07-26,40487.42578125,1537.36
2018-07-27,40487.42578125,1536.13
2018-07-30,40755.40234375,1548.13
2018-07-31,39904.8828125,1526.6
2018-08-01,39986.43359375,1540.41
2018-08-02,40184.5078125,1529.17
2018-08-03,40184.5078125,1531.96
2018-08-06,40184.5078125,1528.09
2018-08-08,40196.15625,1541.73
2018-08-09,40196.15625,1532.11
2018-08-10,40196.15625,1524.96
2018-08-13,39986.43359375,1520.03
2018-08-14,39904.8828125,1523.72
2018-08-15,40161.19140625,1520.61
2018-08-16,39904.8828125,1525.29
2018-08-17,39904.8828125,1528.58
2018-08-21,40172.8515625,1533.2
2018-08-22,40184.5078125,1536.09
2018-08-23,40172.8515625,1534.56
2018-08-24,40172.8515625,1538.7
2018-08-27,40196.15625,1544.32
2018-08-28,40354.06640625,1548.27
2018-08-29,40354.06640625,1543.68
2018-08-30,40237.08203125,1540.61
2018-08-31,40237.08203125,1542.77
2018-09-03,40096.71875,1536.16
2018-09-04,40354.06640625,1530.34
2018-09-05,40202.0,1508.94
2018-09-06,39944.671875,1485.16
2018-09-07,39944.671875,1475.9
2018-09-10,39769.203125,1471.81
2018-09-11,39944.671875,1480.57
2018-09-12,39944.671875,1510.38
2018-09-13,39944.671875,1501.31
2018-09-14,39944.671875,1498.21
2018-09-17,39769.203125,1495.4
2018-09-18,39430.0,1509.65
2018-09-19,39769.203125,1505.63
2018-09-20,39476.79296875,1485.86
2018-09-21,39476.79296875,1482.99
2018-09-24,39769.203125,1492.33
2018-09-25,39927.74609375,1488.6
2018-09-26,39869.03515625,1487.07
2018-09-27,39927.74609375,1498.14
2018-09-28,39927.74609375,1506.07
2018-10-01,39105.7109375,1512.97
2018-10-02,39105.7109375,1511.94
2018-10-03,39916.01171875,1524.86
2018-10-04,39622.42578125,1517.36
2018-10-05,39598.92578125,1494.99
2018-10-10,39692.87109375,1479.75
2018-10-11,39692.87109375,1459.97
2018-10-12,39692.87109375,1462.71
2018-10-16,39493.25,1479.01
2018-10-17,39493.25,1476.33
2018-10-18,39575.43359375,1461.26
2018-10-19,39810.328125,1452.38
2018-10-22,39575.43359375,1440.38
2018-10-23,39575.43359375,1433.9
2018-10-24,39810.328125,1411.99
2018-10-25,39810.328125,1395.49
2018-10-26,38908.35546875,1397.17
2018-10-29,38943.71484375,1392.46
2018-10-30,38943.71484375,1394.92
2018-10-31,38908.35546875,1392.18
2018-11-01,37741.1015625,1383.02
2018-11-02,37729.30859375,1390.97
2018-11-06,37717.515625,1401.69
2018-11-07,37717.515625,1423.2
2018-11-08,37670.359375,1424.96
2018-11-09,37729.30859375,1419.91
2018-11-13,37729.30859375,1387.37
2018-11-14,37729.30859375,1401.51
2018-11-15,37493.48828125,1426.96
2018-11-16,37717.515625,1436.9
2018-11-19,37493.48828125,1423.09
2018-11-20,34616.640625,1389.24
2018-11-21,35371.21484375,1390.19
2018-11-22,34781.703125,1388.3
2018-11-23,35100.046875,1370.91
2018-11-26,35253.31640625,1393.78
2018-11-27,35472.4453125,1383.27
2018-11-28,35413.20703125,1385.13
2018-11-29,34643.3671875,1386.8
2018-11-30,35176.3359375,1379.24
2018-12-03,35010.50390625,1405.61
2018-12-04,35069.73828125,1399.71
2018-12-05,34939.45703125,1408.41
2018-12-06,35022.375,1390.0
2018-12-07,35057.890625,1382.45
2018-12-10,34939.45703125,1377.03
2018-12-11,34939.45703125,1373.35
2018-12-12,34939.45703125,1374.29
2018-12-13,33186.5625,1365.35
2018-12-14,34880.2421875,1359.31
2018-12-17,33162.875,1335.64
2018-12-18,33755.078125,1336.14
2018-12-19,32570.689453125,1332.35
2018-12-20,33162.875,1298.37
2018-12-21,31978.494140625,1301.86
2018-12-24,33091.8203125,1301.6
2018-12-26,33091.8203125,1329.15
2018-12-27,32985.20703125,1324.99
2018-12-28,33044.4296875,1325.93
2019-01-02,32169.689453125,1332.8
2019-01-03,33919.19921875,1348.53
2019-01-04,33347.921875,1356.75
2019-01-08,33621.66015625,1368.24
2019-01-09,34514.2734375,1377.61
2019-01-10,34514.2734375,1384.07
2019-01-11,34514.2734375,1388.38
2019-01-14,34514.2734375,1393.2
2019-01-15,34502.37890625,1393.09
2019-01-16,33966.80078125,1391.34
2019-01-17,33383.63671875,1391.42
2019-01-18,33776.37890625,1392.95
2019-01-21,34811.82421875,1398.94
2019-01-22,34788.0,1403.94
2019-01-23,34371.453125,1406.52
2019-01-24,34395.25390625,1416.76
2019-01-25,34811.82421875,1425.47
2019-01-28,35097.453125,1430.18
2019-01-29,34811.82421875,1437.45
2019-01-30,35085.54296875,1449.65
2019-01-31,35585.40625,1447.01
2019-02-01,35746.8046875,1462.03
2019-02-04,37336.85546875,1474.94
2019-02-05,37540.1171875,1493.39
2019-02-06,38305.25390625,1488.9
2019-02-07,37827.0234375,1472.11
2019-02-08,37839.00390625,1468.77
2019-02-11,38257.4453125,1468.42
2019-02-12,37659.671875,1473.73
2019-02-13,37839.00390625,1472.57
2019-02-14,37635.76171875,1476.79
2019-02-15,37659.671875,1488.84
2019-02-18,37779.23828125,1482.69
2019-02-19,37767.27734375,1477.76
2019-02-20,37862.9140625,1478.64
2019-02-21,37934.6484375,1478.49
2019-02-22,37659.671875,1491.74
2019-02-25,38245.49609375,1509.88
2019-02-26,37659.671875,1519.95
2019-02-27,38197.6640625,1516.64
2019-02-28,37731.41015625,1508.27
2019-03-01,38445.8203125,1515.35
2019-03-04,38085.60546875,1517.0
2019-03-05,38421.79296875,1518.21
2019-03-06,40799.15625,1532.06
2019-03-07,40090.7421875,1517.84
2019-03-08,39346.3203125,1503.01
2019-03-11,40811.1484375,1525.79
2019-03-12,40811.1484375,1533.35
2019-03-13,41423.4921875,1560.4
2019-03-14,41423.4921875,1575.11
2019-03-15,40522.9921875,1579.72
2019-03-18,40583.02734375,1606.37
2019-03-19,40835.16796875,1613.71
2019-03-20,40763.1328125,1628.22
2019-03-21,40534.98046875,1631.3
2019-03-22,40751.10546875,1597.19
2019-03-26,40703.09375,1607.03
2019-03-27,40150.78125,1572.68
2019-03-28,39812.96484375,1569.91
2019-03-29,39812.96484375,1587.74
2019-04-01,39812.96484375,1581.9
2019-04-02,39511.359375,1579.51
2019-04-03,40295.55078125,1590.64
2019-04-04,40283.48828125,1590.15
2019-04-05,39812.96484375,1599.83
2019-04-08,40295.55078125,1616.35
2019-04-09,40355.87109375,1621.4
2019-04-10,40416.1953125,1625.21
2019-04-11,40174.921875,1611.6
2019-04-12,40174.921875,1604.97
2019-04-15,40476.5078125,1572.75
2019-04-16,40476.5078125,1581.43
2019-04-17,40295.55078125,1574.31
2019-04-22,40428.26953125,1591.18
2019-04-23,40428.26953125,1595.02
2019-04-24,40886.72265625,1600.17
2019-04-25,42292.84375,1599.81
2019-04-26,42232.23046875,1597.75
2019-04-29,42365.56640625,1590.38
2019-04-30,42365.56640625,1573.64
2019-05-02,41371.5859375,1562.02
2019-05-03,41371.5859375,1555.38
2019-05-06,41517.046875,1549.16
2019-05-07,41517.046875,1535.26
2019-05-08,41771.609375,1539.31
2019-05-09,40147.28125,1542.57
2019-05-10,40207.8984375,1550.38
2019-05-13,40207.8984375,1515.81
2019-05-14,40207.8984375,1509.11
2019-05-15,40583.6796875,1501.55
2019-05-16,40207.8984375,1503.06
2019-05-17,40377.60546875,1500.05
2019-05-20,40620.04296875,1482.74
2019-05-21,40620.04296875,1493.41
2019-05-22,40316.99609375,1489.43
2019-05-23,40607.9296875,1472.15
2019-05-24,40607.9296875,1489.41
2019-05-27,40304.87109375,1480.01
2019-05-28,40499.75,1463.38
2019-05-29,39890.73828125,1481.72
2019-05-30,39902.91015625,1487.06
2019-05-31,40170.88671875,1487.0
2019-06-04,39708.0234375,1497.35
2019-06-05,39708.0234375,1483.42
2019-06-06,39610.5859375,1489.99
2019-06-07,39318.26171875,1509.82
2019-06-11,39951.64453125,1519.97
2019-06-12,40304.8671875,1513.16
2019-06-13,40304.8671875,1521.69
2019-06-14,40414.48828125,1526.36
2019-06-17,40560.66015625,1518.29
2019-06-18,40816.4453125,1537.81
2019-06-19,40926.078125,1546.24
2019-06-20,41705.625,1554.67
2019-06-21,41705.625,1560.19
2019-06-25,41057.01953125,1557.86
2019-06-26,41901.42578125,1549.72
2019-06-27,41142.68359375,1547.69
2019-06-28,41130.4609375,1548.98
2019-07-02,41203.859375,1543.76
2019-07-03,41203.859375,1563.72
2019-07-04,41840.2265625,1565.96
2019-07-05,41840.2265625,1579.19
2019-07-08,41852.4609375,1581.08
2019-07-09,41852.4609375,1588.9
2019-07-10,42207.359375,1600.91
2019-07-11,43382.15625,1600.5
2019-07-12,43320.96484375,1605.15
2019-07-15,43320.96484375,1605.01
2019-07-16,43320.96484375,1619.62
2019-07-17,45278.98046875,1607.23
2019-07-18,44911.84765625,1586.96
2019-07-19,44618.16796875,1600.39
2019-07-22,44728.27734375,1594.44
2019-07-23,44728.27734375,1602.15
2019-07-24,44728.27734375,1592.71
2019-07-25,44667.0859375,1595.47
2019-07-26,44273.76953125,1580.56
2019-07-29,44925.2109375,1585.26
2019-07-30,44925.2109375,1568.06
2019-07-31,44851.47265625,1562.13
2019-08-01,43941.90234375,1537.58
2019-08-02,43671.49609375,1543.38
2019-08-05,43020.05859375,1503.0
2019-08-06,43020.05859375,1512.83
2019-08-08,43634.62890625,1545.44
2019-08-09,43634.62890625,1537.8
2019-08-12,43634.62890625,1531.2
2019-08-13,43634.62890625,1554.59
2019-08-14,43806.7109375,1515.8
2019-08-15,41962.98828125,1524.19
2019-08-16,42171.94140625,1542.81
2019-08-20,43142.9609375,1548.46
2019-08-21,43142.9609375,1541.56
2019-08-22,43585.4609375,1526.96
2019-08-23,43929.62890625,1505.29
2019-08-26,43155.26953125,1519.08
2019-08-27,43352.80859375,1531.51
2019-08-28,43846.73828125,1536.69
2019-08-29,44143.06640625,1542.36
2019-08-30,43871.41796875,1559.52
2019-09-02,43871.41796875,1560.81
2019-09-03,43871.41796875,1561.49
2019-09-04,44167.76171875,1565.89
2019-09-05,43896.125,1567.35
2019-09-06,44439.41796875,1567.53
2019-09-09,45069.140625,1576.75
2019-09-10,45069.140625,1572.81
2019-09-11,45069.140625,1585.72
2019-09-12,45377.83984375,1587.66
2019-09-13,45686.5390625,1580.6
2019-09-16,46921.3046875,1600.63
2019-09-17,46921.3046875,1597.94
2019-09-18,46921.3046875,1597.36
2019-09-19,46316.2578125,1594.1
2019-09-20,46303.9296875,1594.22
2019-09-23,47909.125,1597.15
2019-09-24,47909.125,1591.09
2019-09-25,48355.484375,1596.35
2019-09-26,47735.5390625,1601.43
2019-09-27,48653.078125,1584.99
2019-09-30,49843.34765625,1577.96
2019-10-01,49843.34765625,1582.42
2019-10-02,49595.38671875,1574.83
2019-10-03,49892.94921875,1588.62
2019-10-04,49818.5390625,1593.05
2019-10-07,49595.38671875,1596.94
2019-10-08,49595.38671875,1589.89
2019-10-09,49595.38671875,1589.31
2019-10-10,49706.98046875,1583.44
2019-10-11,49595.38671875,1590.86
2019-10-15,48665.453125,1578.89
2019-10-16,48665.453125,1579.51
2019-10-17,49657.359375,1578.63
2019-10-18,49607.76171875,1578.61
2019-10-21,50215.30859375,1597.56
2019-10-22,50215.30859375,1613.42
2019-10-23,50835.234375,1613.32
2019-10-24,51021.234375,1616.05
2019-10-25,50897.2265625,1628.55
2019-10-28,53598.32421875,1622.0
2019-10-29,53598.32421875,1633.28
2019-10-30,54444.74609375,1633.92
2019-10-31,54158.46484375,1633.15
2019-11-01,54158.46484375,1645.88
2019-11-05,55067.12109375,1665.69
2019-11-06,55988.19140625,1657.15
2019-11-07,55813.9453125,1655.73
2019-11-08,55328.51953125,1636.23
2019-11-12,52951.0625,1632.02
2019-11-13,52926.16796875,1624.26
2019-11-14,51034.15234375,1613.9
2019-11-15,51656.5546875,1627.25
2019-11-18,51345.34765625,1622.74
2019-11-19,52254.01953125,1607.58
2019-11-20,51034.15234375,1600.49
2019-11-21,51021.71484375,1599.69
2019-11-22,51009.26953125,1613.84
2019-11-25,51034.15234375,1600.81
2019-11-26,51234.09375,1597.16
2019-11-27,51858.921875,1587.33
2019-11-28,53733.3203125,1603.54
2019-11-29,53733.3203125,1611.92
2019-12-02,54045.74609375,1598.33
2019-12-03,51259.09765625,1589.9
